"filename", "language", "HTML", "Python", "Markdown", "CSS", "comment", "blank", "total"
"c:\Users\GuestUser\OneDrive\デスクトップ\tosho_app\books\views.py", "Python", 0, 404, 0, 0, 54, 113, 571
"c:\Users\GuestUser\OneDrive\デスクトップ\tosho_app\manage.py", "Python", 0, 17, 0, 0, 1, 5, 23
"c:\Users\GuestUser\OneDrive\デスクトップ\tosho_app\static\css\style.css", "CSS", 0, 0, 0, 0, 0, 1, 1
"c:\Users\GuestUser\OneDrive\デスクトップ\tosho_app\templates\404.html", "HTML", 11, 0, 0, 0, 0, 2, 13
"c:\Users\GuestUser\OneDrive\デスクトップ\tosho_app\templates\500.html", "HTML", 10, 0, 0, 0, 0, 2, 12
"c:\Users\GuestUser\OneDrive\デスクトップ\tosho_app\templates\accounts\accounts_change.html", "HTML", 16, 0, 0, 0, 0, 5, 21
"c:\Users\GuestUser\OneDrive\デスクトップ\tosho_app\templates\accounts\accounts_delete.html", "HTML", 15, 0, 0, 0, 0, 4, 19
"c:\Users\GuestUser\OneDrive\デスクトップ\tosho_app\templates\accounts\borrowing_history.html", "HTML", 37, 0, 0, 0, 0, 2, 39
"c:\Users\GuestUser\OneDrive\デスクトップ\tosho_app\templates\accounts\forget.html", "HTML", 13, 0, 0, 0, 0, 3, 16
"c:\Users\GuestUser\OneDrive\デスクトップ\tosho_app\templates\accounts\my_review_detail.html", "HTML", 31, 0, 0, 0, 0, 4, 35
"c:\Users\GuestUser\OneDrive\デスクトップ\tosho_app\templates\accounts\page.html", "HTML", 23, 0, 0, 0, 6, 2, 31
"c:\Users\GuestUser\OneDrive\デスクトップ\tosho_app\templates\accounts\password_change.html", "HTML", 16, 0, 0, 0, 0, 5, 21
"c:\Users\GuestUser\OneDrive\デスクトップ\tosho_app\templates\accounts\password_change_done.html", "HTML", 9, 0, 0, 0, 0, 2, 11
"c:\Users\GuestUser\OneDrive\デスクトップ\tosho_app\templates\accounts\password_reset.html", "HTML", 20, 0, 0, 0, 0, 3, 23
"c:\Users\GuestUser\OneDrive\デスクトップ\tosho_app\templates\accounts\password_reset_complete.html", "HTML", 9, 0, 0, 0, 0, 3, 12
"c:\Users\GuestUser\OneDrive\デスクトップ\tosho_app\templates\accounts\password_reset_confirm.html", "HTML", 14, 0, 0, 0, 0, 3, 17
"c:\Users\GuestUser\OneDrive\デスクトップ\tosho_app\templates\accounts\password_reset_done.html", "HTML", 8, 0, 0, 0, 0, 2, 10
"c:\Users\GuestUser\OneDrive\デスクトップ\tosho_app\templates\accounts\signup.html", "HTML", 16, 0, 0, 0, 0, 5, 21
"c:\Users\GuestUser\OneDrive\デスクトップ\tosho_app\templates\accounts\staff_accounts_change.html", "HTML", 21, 0, 0, 0, 0, 5, 26
"c:\Users\GuestUser\OneDrive\デスクトップ\tosho_app\templates\accounts\staff_search_user.html", "HTML", 42, 0, 0, 0, 0, 4, 46
"c:\Users\GuestUser\OneDrive\デスクトップ\tosho_app\templates\accounts\username_reset.html", "HTML", 20, 0, 0, 0, 0, 3, 23
"c:\Users\GuestUser\OneDrive\デスクトップ\tosho_app\templates\accounts\username_reset_done.html", "HTML", 9, 0, 0, 0, 0, 2, 11
"c:\Users\GuestUser\OneDrive\デスクトップ\tosho_app\templates\base.html", "HTML", 14, 0, 0, 0, 0, 5, 19
"c:\Users\GuestUser\OneDrive\デスクトップ\tosho_app\templates\books\ISBN_search.html", "HTML", 26, 0, 0, 0, 2, 5, 33
"c:\Users\GuestUser\OneDrive\デスクトップ\tosho_app\templates\books\add_review.html", "HTML", 93, 0, 0, 0, 3, 14, 110
"c:\Users\GuestUser\OneDrive\デスクトップ\tosho_app\templates\books\book_delete.html", "HTML", 20, 0, 0, 0, 0, 4, 24
"c:\Users\GuestUser\OneDrive\デスクトップ\tosho_app\templates\books\book_detail.html", "HTML", 105, 0, 0, 0, 0, 5, 110
"c:\Users\GuestUser\OneDrive\デスクトップ\tosho_app\templates\books\book_manage.html", "HTML", 62, 0, 0, 0, 0, 8, 70
"c:\Users\GuestUser\OneDrive\デスクトップ\tosho_app\templates\books\book_search.html", "HTML", 63, 0, 0, 0, 0, 5, 68
"c:\Users\GuestUser\OneDrive\デスクトップ\tosho_app\templates\books\book_shelf.html", "HTML", 36, 0, 0, 0, 0, 6, 42
"c:\Users\GuestUser\OneDrive\デスクトップ\tosho_app\templates\books\book_update.html", "HTML", 21, 0, 0, 0, 0, 5, 26
"c:\Users\GuestUser\OneDrive\デスクトップ\tosho_app\templates\books\bookdata.html", "HTML", 31, 0, 0, 0, 0, 3, 34
"c:\Users\GuestUser\OneDrive\デスクトップ\tosho_app\templates\books\borrowed_books_list.html", "HTML", 97, 0, 0, 0, 0, 3, 100
"c:\Users\GuestUser\OneDrive\デスクトップ\tosho_app\templates\books\lending.html", "HTML", 49, 0, 0, 0, 0, 5, 54
"c:\Users\GuestUser\OneDrive\デスクトップ\tosho_app\templates\books\lending_done.html", "HTML", 17, 0, 0, 0, 0, 3, 20
"c:\Users\GuestUser\OneDrive\デスクトップ\tosho_app\templates\books\place_change.html", "HTML", 20, 0, 0, 0, 0, 4, 24
"c:\Users\GuestUser\OneDrive\デスクトップ\tosho_app\templates\books\place_delete.html", "HTML", 38, 0, 0, 0, 0, 4, 42
"c:\Users\GuestUser\OneDrive\デスクトップ\tosho_app\templates\books\place_make.html", "HTML", 20, 0, 0, 0, 0, 5, 25
"c:\Users\GuestUser\OneDrive\デスクトップ\tosho_app\templates\bootstrap.html", "HTML", 2, 0, 0, 0, 0, 1, 3
"c:\Users\GuestUser\OneDrive\デスクトップ\tosho_app\templates\index.html", "HTML", 203, 0, 0, 0, 0, 7, 210
"c:\Users\GuestUser\OneDrive\デスクトップ\tosho_app\tosho_app\__init__.py", "Python", 0, 0, 0, 0, 0, 1, 1
"c:\Users\GuestUser\OneDrive\デスクトップ\tosho_app\tosho_app\asgi.py", "Python", 0, 10, 0, 0, 0, 7, 17
"c:\Users\GuestUser\OneDrive\デスクトップ\tosho_app\tosho_app\urls.py", "Python", 0, 22, 0, 0, 0, 4, 26
"c:\Users\GuestUser\OneDrive\デスクトップ\tosho_app\tosho_app\wsgi.py", "Python", 0, 10, 0, 0, 0, 7, 17
"Total", "-", 1257, 1551, 1, 0, 124, 555, 3488
